Name                           Symbol     
NB_MC_BYPASS_HP                0x4000006e 
NB_MC_BYPASS_LP                0x4000006f 
NB_MC_BYPASS_INTERFACE         0x40000070 
NB_MC_BYPASS_QUEUE             0x40000071 
NB_SIZED_NONPOSTWRSZBYTE       0x40000072 
NB_SIZED_NONPOSTWRSZDWORD      0x40000073 
NB_SIZED_POSTWRSZBYTE          0x40000074 
NB_SIZED_POSTWRSZDWORD         0x40000075 
NB_SIZED_RDSZBYTE              0x40000076 
NB_SIZED_RDSZDWORD             0x40000077 
NB_SIZED_RDMODWR               0x40000078 
NB_PROBE_MISS                  0x40000079 
NB_PROBE_HIT                   0x4000007a 
NB_PROBE_HIT_DIRTY_NO_MEM_CANCEL 0x4000007b 
NB_PROBE_HIT_DIRTY_MEM_CANCEL  0x4000007c 
NB_HT_BUS0_COMMAND             0x4000007d 
NB_HT_BUS0_DATA                0x4000007e 
NB_HT_BUS0_BUFF                0x4000007f 
NB_HT_BUS0_NOP                 0x40000080 
NB_HT_BUS1_COMMAND             0x40000081 
NB_HT_BUS1_DATA                0x40000082 
NB_HT_BUS1_BUFF                0x40000083 
NB_HT_BUS1_NOP                 0x40000084 
NB_HT_BUS2_COMMAND             0x40000085 
NB_HT_BUS2_DATA                0x40000086 
NB_HT_BUS2_BUFF                0x40000087 
NB_HT_BUS2_NOP                 0x40000088 
CPU_CLK_UNHALTED               0x40000089 
HT_LL_MEM_XFR                  0x4000008a 
HT_LR_MEM_XFR                  0x4000008b 
HT_RL_MEM_XFR                  0x4000008c 
HT_LL_IO_XFR                   0x4000008d 
HT_LR_IO_XFR                   0x4000008e 
HT_RL_IO_XFR                   0x4000008f 
